id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
sci-chembl-mechanism	OK	0	0	2000	2001	2001	-1	19.7	
sci-chembl-metabolism	OK	0	0	2000	2001	2001	-1	17.2	
sci-chembl-molecule-form	OK	0	0	2000	2001	2001	-1	14.2	
sci-chembl-drug	OK	0	0	2000	2001	2001	-1	33.8	
sci-chembl-protein-classification	OK	0	0	905	905	905	-1	13.7	
sci-chembl-organism	OK	0	0	2000	2001	2001	-1	17.1	
sci-chembl-molecule	OK	0	0	2000	2001	2001	-1	45.5	
sci-antares-loci	COLLISION	0	0	1000	992	992	-1	38.7	8 of 1000 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
sci-exoarchive-direct-imaging	OK	0	0	190	190	190	-1	5.7	
us-socrata-metadata-healthdata	SLOW	-1	0	-1	-1	6500	-1	220.1	hit --timeout 220.1s; 6500 rows already stored
sci-exoarchive-k2pandc	OK	0	0	4070	4070	4070	-1	10.7	
sci-celestrak-education	EMITS_NOTHING	1	-1	0	0	0	-1	62.1	no records reached intel_items
sci-exoarchive-microlensing	COLLISION	0	0	821	765	765	-1	10.0	56 of 821 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
sci-chembl-target	OK	0	0	2000	2001	2001	-1	79.6	
sci-exoarchive-tess-confirmed	OK	0	0	2397	2397	2397	-1	16.7	
sci-celestrak-geodetic	EMITS_NOTHING	1	-1	0	0	0	-1	62.1	no records reached intel_items
sci-chembl-target-component	OK	0	0	2000	2001	2001	-1	92.6	
UA_OPENPROCUREMENT_AGREEMENTS	COLLISION	0	0	828	724	724	828	9.4	104 of 828 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
IE_CSO_COLLECTION	COLLISION	0	0	13008	12999	12999	13008	47.2	9 of 13008 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
SI_GURS_STREETS	OK	0	0	10000	10001	10001	10000	36.8	
SI_GURS_SETTLEMENTS	OK	0	0	6034	6034	6034	6034	45.0	
AM_OPENDATA_BULK	OK	0	0	823	823	823	823	5.4	
HU_INSPIRE_ADMIN_UNITS	OK	0	0	1000	1001	1001	1000	10.8	
