# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
SurveyLama	4.4M	2024-04-02	2024-02
Pandabuy	1.3M	2024-04-01	2024-03
Washington State Food Worker Card	1.6M	2024-03-31	2022-11
England Cricket	43.3k	2024-03-29	2024-03
Exvagos	2.1M	2024-03-28	2022-07
GSM Hosting	2.6M	2024-03-27	2016-08
SwordFantasy	2.7M	2024-03-26	2017-01
MediaWorks	162.7k	2024-03-22	2023-03
AT&T	49.1M	2024-03-19	2021-08
ClickASnap	3.3M	2024-03-13	2022-09
Misattributed Flipkart Data	552.1k	2024-03-12	2022-09
Misattributed Habib's Data	3.5M	2024-03-10	2021-08
APK.TW	2.5M	2024-03-09	2022-09
Online Trade (Онлайн Трейд)	3.8M	2024-03-07	2022-09
WoTLabs	22k	2024-03-07	2024-03
Mr. Green Gaming	27.1k	2024-03-03	2024-03
Cutout.Pro	20M	2024-02-28	2024-02
Tangerine	243.5k	2024-02-28	2024-02
Facebook Marketplace	77.3k	2024-02-22	2023-10
Spoutible	207.1k	2024-02-05	2024-01
MyPertamina	6M	2024-01-27	2022-11
Trello	15.1M	2024-01-22	2024-01
Naz.API	70.8M	2024-01-17	2023-09
Hathway	4.7M	2024-01-12	2023-12
Legendas.TV	3.9M	2024-01-04	2017-10
DC Health Link	48.1k	2023-12-14	2023-03
InflateVids	13.4k	2023-12-12	2023-12
Kaneva	3.9M	2023-12-09	2016-07
Gemplex	4.6M	2023-12-09	2021-02
Movie Forums	39.9k	2023-12-08	2022-11
JoyGames	4.5M	2023-12-07	2019-12
RailYatri	23.2M	2023-12-05	2022-12
SoarGames	4.8M	2023-12-03	2019-12
Go Ninja	5M	2023-11-30	2019-12
Estante Virtual	5.4M	2023-11-29	2019-02
